ID,collaboration,group,gender,graduate,points,NK1_pre,NK2_pre,NK3_pre,NK_avg_pre,SK1_pre,SK2_pre,SK3_pre,SK_avg_pre,PK1_pre,PK2_pre,PK3_pre,PK_avg_pre,AK1_pre,AK2_pre,AK3_pre,AK_avg_pre,TK1_pre,TK2_pre,TK3_pre,TK_avg_pre,NK1_post,NK2_post,NK3_post,NK_avg_post,SK1_post,SK2_post,SK3_post,SK_avg_post,PK1_post,PK2_post,PK3_post,PK_avg_post,AK1_post,AK2_post,AK3_post,AK_avg_post,TK1_post,TK2_post,TK3_post,TK_avg_post,NK_diff,SK_diff,PK_diff,AK_diff,TK_diff,A1,A2,R1,R2,C1,C2,S1,S2,ARCS_avg,PR1,PR2,PR3,PR4,PR5,PR6,PR_avg,TS1,TS2,TS3,TS4,TS5,TS6,TS_avg,PR_TS_avg,TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK_avg
1,1,2295,0,1,21,0,0,1,0.33,1,0,0,0.33,0,0,1,0.44,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,0,0.67,0,1,1,0.67,1,0,0,0.33,0,1,1,0.67,0.67,0.33,0.22,-0.33,-0.33,4,5,4,2,4,4,4,4,3.88,5,5,4,3,4,4,4.17,4,4,4,4,3,4,3.83,4,2,2,2,2,2,2,2,2,2
2,1,1492,1,0,21,1,0,1,0.67,0,0,0,0,1,0,1,0.33,1,0,1,0.67,1,1,0,0.67,1,0,0,0.33,0,1,0,0.33,1,0,1,0.67,1,1,1,1,1,1,1,1,-0.33,0.33,0.33,0.33,0.33,5,5,5,4,3,4,5,4,4.38,5,5,5,5,4,5,4.83,5,5,5,5,5,5,5,4.92,5,4,5,4,4,5,4,4,4.38
3,1,2691,0,0,22,1,1,0,0.67,1,0,1,0.67,1,0,1,0.56,1,1,1,1,0,0,1,0.33,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.33,0.44,0,0.67,4,5,3,4,3,4,4,5,4,5,4,4,4,4,4,4.17,4,4,4,4,4,4,4,4.08,4,3,3,3,3,3,4,4,3.38
4,1,1492,1,0,21,0,0,0,0,0,1,0,0.33,1,0,1,0.44,0,0,1,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,0,0,0.33,1,0,1,0.67,1,1,1,1,0.67,0.67,-0.11,0.33,1,4,4,4,3,3,4,4,4,3.75,4,5,5,5,5,5,4.83,4,4,5,5,5,4,4.5,4.67,4,4,4,4,4,4,4,4,4
5,1,2767,0,0,13,0,0,1,0.33,1,0,0,0.33,0,1,1,0.78,0,0,0,0,1,1,1,1,1,0,0,0.33,1,0,0,0.33,0,1,1,0.67,0,0,0,0,1,1,1,1,0,0,-0.11,0,0,4,3,4,4,3,3,4,3,3.5,3,4,4,4,3,4,3.67,4,4,4,4,4,4,4,3.83,4,4,4,4,3,4,4,3,3.75
6,1,2691,0,0,22,1,1,0,0.67,0,1,0,0.33,1,0,1,0.44,1,1,1,1,1,1,1,1,1,1,0,0.67,0,1,1,0.67,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0.33,0.22,0,0,5,5,4,3,4,3,4,5,4.13,4,3,5,3,3,4,3.67,4,4,4,4,4,4,4,3.83,4,4,4,4,4,4,4,4,4
7,1,2691,0,0,22,1,1,0,0.67,0,1,0,0.33,1,0,1,0.44,1,1,1,1,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.67,0,0.67,0.56,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,1,2489,1,0,16,0,0,0,0,1,0,1,0.67,1,1,0,0.56,1,0,0,0.33,0,1,0,0.33,1,1,0,0.67,1,0,1,0.67,1,1,1,1,1,0,0,0.33,1,1,1,1,0.67,0,0.44,0,0.67,4,3,4,4,3,3,3,2,3.25,4,4,4,3,3,4,3.67,3,4,3,4,3,3,3.33,3.5,4,3,4,3,3,3,3,3,3.25
9,1,1928,0,0,23,0,1,1,0.67,1,1,1,1,1,0,0,0.33,1,1,1,1,0,1,0,0.33,0,1,0,0.33,0,1,1,0.67,1,0,0,0.33,1,1,1,1,1,1,1,1,-0.33,-0.33,0,0,0.67,4,4,4,4,2,3,3,4,3.5,3,4,5,3,3,4,3.67,3,3,2,2,2,3,2.5,3.08,4,4,4,4,4,4,4,4,4
10,1,2489,1,0,16,0,0,1,0.33,1,0,1,0.67,1,1,0,0.56,1,0,0,0.33,1,1,0,0.67,1,0,0,0.33,1,0,1,0.67,0,0,1,0.33,1,0,1,0.67,1,0,1,0.67,0,0,-0.22,0.33,0,4,4,4,4,2,3,3,2,3.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,1,2812,0,0,23,0,1,0,0.33,1,1,0,0.67,1,0,0,0.22,1,1,0,0.67,0,1,1,0.67,1,1,0,0.67,0,1,1,0.67,1,0,0,0.33,1,1,1,1,1,1,1,1,0.33,0,0.11,0.33,0.33,5,5,4,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4.83,4.92,5,3,4,4,4,4,4,4,4
12,1,2489,1,0,16,0,0,1,0.33,1,0,1,0.67,0,1,0,0.56,1,0,0,0.33,0,0,1,0.33,1,0,0,0.33,0,0,1,0.33,0,1,0,0.33,1,0,1,0.67,0,1,1,0.67,0,-0.33,-0.22,0.33,0.33,4,4,3,3,3,3,3,4,3.38,4,4,4,4,3,4,3.83,4,4,4,4,4,4,4,3.92,4,4,4,4,4,4,4,4,4
13,1,1928,0,0,23,1,1,0,0.67,0,1,1,0.67,1,0,0,0.22,1,0,1,0.67,0,1,0,0.33,1,1,0,0.67,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,1,1,0,0.33,0.44,0,0.67,4,5,4,4,4,4,3,4,4,4,4,4,4,3,4,3.83,4,4,4,4,3,3,3.67,3.75,4,3,3,3,3,4,3,3,3.25
14,1,2295,0,1,21,0,1,0,0.33,1,1,1,1,1,0,1,0.67,1,1,1,1,0,1,1,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,0.33,0,0.33,-0.33,0.33,4,4,5,4,5,4,4,4,4.25,4,5,4,3,3,4,3.83,4,4,4,4,4,5,4.17,4,4,5,4,4,4,3,4,5,4.13
15,1,2295,1,0,21,1,0,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,1,0,0,0.33,1,1,0,0.67,0,1,1,0.67,0,0,1,0.33,1,0,1,0.67,1,1,1,1,0.33,0.33,-0.11,0.33,0.67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,1,1039,0,1,20,1,0,0,0.33,0,0,0,0,1,0,1,0.33,0,1,0,0.33,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,0.33,1,0.67,0.33,0.33,5,5,4,4,2,3,4,4,3.88,5,5,5,5,4,5,4.83,5,5,5,4,4,5,4.67,4.75,4,4,5,4,3,4,3,4,3.88
17,1,1039,1,1,20,0,0,0,0,1,0,1,0.67,1,0,1,0.56,1,0,0,0.33,0,1,0,0.33,1,1,0,0.67,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,1,1,1,0.67,0,0.44,0.33,0.67,5,5,5,4,4,4,4,4,4.38,5,5,5,5,4,5,4.83,5,5,5,5,5,5,5,4.92,5,4,5,4,4,5,4,5,4.5
18,1,1492,0,0,21,0,0,0,0,0,0,0,0,1,1,1,0.67,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.67,0.67,0.33,0.33,0,5,5,4,3,5,5,5,4,4.5,4,5,4,3,3,4,3.83,4,4,4,4,4,4,4,3.92,3,4,4,3,4,4,4,4,3.75
19,1,2812,1,0,23,0,1,0,0.33,1,0,1,0.67,1,0,1,0.56,1,0,1,0.67,1,1,0,0.67,0,1,0,0.33,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.44,0.33,0.33,3,5,5,3,4,3,4,4,3.88,4,4,5,3,3,5,4,4,4,3,4,5,5,4.17,4.08,3,2,2,4,4,3,3,4,3.13
20,1,4920,1,0,23,0,0,1,0.33,1,1,0,0.67,0,0,1,0.56,0,0,0,0,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,0,1,0.67,1,0,1,0.67,1,1,1,1,0.33,0,0.11,0.67,0,5,5,4,4,3,5,4,4,4.25,5,5,4,5,4,5,4.67,5,5,5,5,5,5,5,4.83,5,4,4,5,5,4,3,3,4.13
21,1,5665,1,1,21,0,1,0,0.33,1,1,0,0.67,1,1,1,0.89,1,0,0,0.33,1,1,0,0.67,1,0,0,0.33,0,1,1,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,0,0,0.11,0.33,0.33,4,5,5,4,5,4,5,4,4.5,5,5,5,5,5,5,5,5,5,3,5,5,4,4.5,4.75,5,4,4,5,4,3,3,4,4
22,1,4751,0,1,23,0,0,0,0,1,0,1,0.67,1,0,1,0.56,1,0,0,0.33,1,1,1,1,0,0,0,0,1,0,0,0.33,1,0,1,0.67,1,0,0,0.33,1,0,1,0.67,0,-0.33,0.11,0,-0.33,4,4,5,5,3,4,4,4,4.13,4,4,4,4,4,5,4.17,5,5,5,4,5,5,4.83,4.5,5,5,5,5,5,4,4,4,4.63
23,1,4498,1,0,23,0,1,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,1,1,0,0.67,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.67,0.67,0.22,0.67,0.33,5,5,5,5,4,5,5,5,4.88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,4.25
24,1,4751,0,1,23,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,0,0,0.33,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,1,1,0,0,0.33,0.33,0,5,5,5,5,4,4,5,5,4.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.88
25,1,6732,0,1,24,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,0,0,0.33,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,-0.33,0,0,0,0.67,5,5,4,4,5,5,5,5,4.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,1,4751,1,1,23,1,1,0,0.67,0,0,1,0.33,1,0,1,0.44,1,0,0,0.33,1,0,1,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0.67,0.22,0.67,0.33,5,5,5,5,5,5,5,4,4.88,5,5,5,4,5,5,4.83,5,5,5,5,5,5,5,4.92,5,5,5,5,5,5,5,3,4.75
27,1,4920,0,0,23,1,1,0,0.67,1,0,0,0.33,1,0,1,0.44,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0.33,0.56,0.67,1,5,5,5,5,4,4,5,4,4.63,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4.75
28,1,6691,1,0,21,0,1,0,0.33,0,0,0,0,1,0,0,0,1,1,0,0.67,0,0,0,0,1,0,0,0.33,0,1,0,0.33,1,1,1,1,1,0,0,0.33,1,1,1,1,0,0.33,1,-0.33,1,5,5,4,4,5,5,5,3,4.5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.83,4.92,5,5,4,4,4,4,5,5,4.5
29,1,6932,0,0,22,0,0,0,0,1,0,1,0.67,1,1,1,0.89,1,0,1,0.67,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,0.67,0,0.11,0,0,4,4,3,4,4,5,4,4,4,4,4,4,3,4,4,3.83,5,4,4,4,5,4,4.33,4.08,4,4,3,3,4,3,3,4,3.5
30,1,6932,0,1,22,0,1,1,0.67,0,1,1,0.67,0,0,1,0.56,1,0,1,0.67,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.44,0.33,1,4,5,4,4,4,4,4,4,4.13,5,5,4,4,4,5,4.5,4,5,4,5,4,4,4.33,4.42,4,4,4,4,3,4,4,3,3.75
31,1,6732,0,0,24,0,1,0,0.33,0,0,0,0,0,0,0,0,0,0,1,0.33,1,1,1,1,0,1,0,0.33,1,1,1,1,1,0,0,0.33,1,1,1,1,1,1,1,1,0,1,0.33,0.67,0,5,5,4,4,4,4,4,4,4.25,5,5,5,5,5,5,5,5,5,4,4,5,5,4.67,4.83,5,4,5,5,4,4,4,4,4.38
32,1,6691,0,0,21,1,1,0,0.67,0,1,0,0.33,1,0,1,0.44,1,1,1,1,1,0,0,0.33,1,1,0,0.67,0,1,1,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0.33,0.56,0,0.67,4,5,4,3,3,4,4,3,3.75,5,5,5,4,4,5,4.67,4,5,4,4,4,4,4.17,4.42,4,4,4,4,4,5,4,4,4.13
33,1,4498,0,1,23,0,0,0,0,0,1,1,0.67,1,0,1,0.56,1,0,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.67,0,1,1,0.67,1,0.33,0.44,0.33,-0.33,4,4,3,3,3,4,4,4,3.63,5,5,4,5,5,5,4.83,5,5,5,5,5,4,4.83,4.83,4,4,4,4,4,4,4,4,4
34,1,5665,1,0,21,0,0,0,0,0,0,1,0.33,0,0,0,0.11,1,1,0,0.67,1,1,1,1,1,0,1,0.67,0,1,0,0.33,0,0,1,0.33,1,0,0,0.33,1,1,0,0.67,0.67,0,0.22,-0.33,-0.33,5,5,5,5,3,3,4,2,4,5,5,4,5,4,5,4.67,5,5,5,5,5,5,5,4.83,5,4,4,3,3,5,4,3,3.88
